cancer_label,CSU_RANK,hdi_group,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Vulva",8,0,28,2,0,508,21,266,2.21,.327,"Mozambique",1,"Eastern Africa"
"Salivary glands",8,0,29,2,0,204,2,35,.88,.438,"Benin",5,"Western Africa"
"Stomach",8,1,30,2,0,604,7,2803,12.02,.688,"Peru",8,"South America"
"Bladder",9,0,1,2,0,454,30,396,6.47,.357,"Malawi",1,"Eastern Africa"
"Brain, CNS",9,1,2,2,0,364,31,2551,5.55,.67,"Iran, Islamic Republic of",12,"South Central Asia"
"Breast",9,3,3,2,0,208,20,5259,95.42,.89,"Denmark",15,"Northern Europe"
"Colorectum",9,3,4,2,0,752,8,3662,28.79,.908,"Sweden",15,"Northern Europe"
"Pancreas",9,3,5,2,0,208,13,710,7.94,.89,"Denmark",15,"Northern Europe"
"Kidney",9,1,6,2,0,112,29,736,7.66,.699,"Belarus",14,"Eastern Europe"
"Lung",9,3,7,2,0,826,15,24989,28.53,.881,"United Kingdom",15,"Northern Europe"
"NHL",9,3,8,2,0,196,34,101,9.72,.819,"Cyprus",16,"Southern Europe"
"Corpus uteri",9,3,9,2,0,44,24,58,20.94,.8,"Bahamas",6,"Caribbean"
"Thyroid",9,2,10,2,0,191,32,623,22.35,.774,"Croatia",16,"Southern Europe"
"Leukaemia",9,3,11,2,0,36,36,1757,7.76,.907,"Australia",18,"Australia/New Zealand"
"Ovary",9,2,12,2,0,780,25,117,11.09,.726,"Trinidad and Tobago",6,"Caribbean"
"Hodgkin lymphoma",9,1,13,2,0,112,33,128,2.65,.699,"Belarus",14,"Eastern Europe"
"Multiple myeloma",9,0,14,2,0,716,35,165,3.76,.423,"Zimbabwe",1,"Eastern Africa"
"Melanoma of skin",9,3,15,2,0,372,16,752,18.06,.881,"Ireland",15,"Northern Europe"
"Mesothelioma",9,3,16,2,0,540,18,1,.46,.852,"New Caledonia",19,"Melanesia"
"Cervix uteri",9,0,17,2,0,174,23,163,52.01,.475,"Comoros",1,"Eastern Africa"
"Liver",9,1,18,2,0,764,11,8797,12.56,.669,"Thailand",11,"South-Eastern Asia"
"Nasopharynx",9,1,19,2,0,12,4,499,2.15,.657,"Algeria",3,"Northern Africa"
"Kaposi sarcoma",9,1,20,2,0,710,19,1590,4.53,.619,"South Africa",4,"Southern Africa"
"Oesophagus",9,1,21,2,0,31,6,495,7.34,.651,"Azerbaijan",13,"Western Asia"
"Vagina",9,1,22,2,0,710,22,230,.74,.619,"South Africa",4,"Southern Africa"
"Gallbladder",9,0,23,2,0,64,12,8,2.51,.52,"Bhutan",12,"South Central Asia"
"Larynx",9,1,24,2,0,364,14,503,1.1,.67,"Iran, Islamic Republic of",12,"South Central Asia"
"Hypopharynx",9,3,25,2,0,233,5,6,.51,.805,"Estonia",15,"Northern Europe"
"Lip, oral cavity",9,3,26,2,0,578,1,213,3.47,.917,"Norway",15,"Northern Europe"
"Oropharynx",9,3,27,2,0,56,3,141,1.16,.886,"Belgium",17,"Western Europe"
"Vulva",9,3,28,2,0,124,21,959,2.18,.877,"Canada",9,"Northern America"
"Salivary glands",9,0,29,2,0,466,2,45,.88,.334,"Mali",5,"Western Africa"
"Stomach",9,0,30,2,0,64,7,37,11.07,.52,"Bhutan",12,"South Central Asia"
"Bladder",10,3,1,2,0,756,30,759,6.47,.899,"Switzerland",17,"Western Europe"
"Brain, CNS",10,3,2,2,0,233,31,63,5.46,.805,"Estonia",15,"Northern Europe"
"Breast",10,3,3,2,0,554,20,3855,94.36,.888,"New Zealand",18,"Australia/New Zealand"
"Colorectum",10,3,4,2,0,392,8,65321,28.54,.864,"Japan",10,"Eastern Asia"
"Pancreas",10,3,5,2,0,250,13,7984,7.78,.852,"France (metropolitan)",17,"Western Europe"
"Kidney",10,3,6,2,0,352,29,25,7.56,.881,"Iceland",15,"Northern Europe"
"Lung",10,3,7,2,0,352,15,104,27.78,.881,"Iceland",15,"Northern Europe"
"NHL",10,3,8,2,0,246,34,692,9.53,.874,"Finland",15,"Northern Europe"
